gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	58.904	2.51	0.774	0.008514
CNAG_00003	NA	101.349	1.293	0.56	0.07966
CNAG_00004	NA	407.634	1.015	0.37	0.03087
CNAG_00005	NA	29.366	-2.043	1.227	0.2349
CNAG_00006	NA	330.49	0.552	0.342	0.2543
CNAG_00007	NA	269.615	-0.434	0.405	0.4905
CNAG_00008	NA	450.726	0.127	0.334	0.8459
CNAG_00009	NA	193.207	-0.525	0.487	0.4868
CNAG_00010	NA	1644.15	-0.523	0.249	0.1171
CNAG_00011	NA	64.372	-0.723	0.763	0.5525
CNAG_00012	NA	161.953	2.206	0.621	0.003392
CNAG_00013	NA	61.914	0.073	0.679	0.9602
CNAG_00014	NA	74.894	-0.093	0.598	0.9404
CNAG_00015	NA	164.407	2.251	0.514	1.817e-4
CNAG_00016	NA	53.142	-0.521	0.735	0.68
CNAG_00017	NA	89.494	1.743	0.703	0.05562
CNAG_00018	FZC6	267.616	-0.057	0.363	0.9395
CNAG_00019	NA	522.924	-0.029	0.303	0.9635
CNAG_00020	NA	421.098	0.235	0.319	0.6651
CNAG_00021	NA	728.149	-1.029	0.312	0.007318
CNAG_00022	NA	236.903	-1.282	0.39	0.007461
CNAG_00023	NA	295.691	4.55	1.82	0.05334
CNAG_00024	NA	9706.747	-0.723	0.237	0.0143
CNAG_00025	VCX1	554.414	-1.219	0.326	0.00182
CNAG_00026	NA	812.264	-0.654	0.311	0.1163
CNAG_00027	NA	132.824	1.05	0.624	0.2293
CNAG_00028	NA	204.925	-0.431	0.402	0.4905
CNAG_00029	NA	43.466	-0.097	0.863	0.9583
CNAG_00030	NA	19.171	-1.846	1.205	0.2851
CNAG_00031	MLR1	214.223	-0.372	0.45	0.6191
CNAG_00032	NA	10.728	0.079	1.736	0.9831
CNAG_00034	RPL9B	5297.557	-0.87	0.262	0.00691
CNAG_00035	NA	96.786	0.279	0.537	0.7759
CNAG_00036	SEC14-2	49.274	1.61	0.727	0.09491
CNAG_00038	NA	58.877	2.071	0.753	0.03004
CNAG_00039	ZFC6	670.823	-0.54	0.354	0.2868
CNAG_00040	ERG11	1833.017	-0.655	0.302	0.1035
CNAG_00043	NA	274.966	1.353	0.367	0.002191
CNAG_00044	NA	387.039	0.929	0.36	0.04432
CNAG_00045	NA	43.104	2.084	0.866	0.06457
CNAG_00046	NA	209.239	1.134	0.449	0.05069
CNAG_00047	PKP1	84.565	1.612	0.839	0.1597
CNAG_00048	NA	18.542	1.224	1.284	0.5503
CNAG_00049	NA	23.513	0.749	1.098	0.6953
CNAG_00050	NA	124.704	-0.085	0.594	0.9456
CNAG_00051	SNT1	1206.484	-0.751	0.259	0.02095
CNAG_00052	NA	9.474	1.494	2.062	0.6713
CNAG_00053	NA	31.276	-1.786	0.943	0.167
CNAG_00054	NA	10.541	0.496	1.461	0.8665
CNAG_00055	NA	160.62	-0.085	0.44	0.9275
CNAG_00056	NA	122.354	-0.173	0.488	0.8586
CNAG_00057	FPP1	214.161	3.301	0.469	1.207e-10
CNAG_00058	NA	784.572	-0.874	0.292	0.01645
CNAG_00059	NA	116.371	-0.66	0.509	0.3832
CNAG_00060	NA	187.698	-0.584	0.421	0.3428
CNAG_00061	CIT1	1392.201	1.379	0.263	3.884e-6
CNAG_00062	NA	364.317	0.09	0.331	0.8968
CNAG_00063	CSE4	90.524	-0.288	0.823	0.8607
CNAG_00064	NA	151.684	-0.243	0.486	0.785
CNAG_00065	NA	880.339	-0.563	0.269	0.1187
CNAG_00066	NA	1029.243	0.301	0.276	0.4829
CNAG_00067	SSS1	359.322	0.86	0.436	0.1461
CNAG_00068	NA	1300.736	-0.136	0.247	0.7598
CNAG_00069	NA	9.781	-0.228	1.98	0.9575
CNAG_00070	NA	3368.556	3.073	0.245	2.812e-33
CNAG_00072	NA	326.733	0.687	0.401	0.2205
CNAG_00073	NA	730.957	0.573	0.283	0.1344
CNAG_00074	NA	663.698	1.469	0.387	0.001549
CNAG_00075	NA	16.451	1.68	1.249	0.3608
CNAG_00076	NDX6	231.938	-0.374	0.43	0.5958
CNAG_00077	NA	2769.198	1.684	0.235	5.562e-11
CNAG_00078	NA	476.079	0.069	0.395	0.9327
CNAG_00079	NA	69.295	2.497	0.748	0.006511
CNAG_00080	NA	24.915	1.698	1.074	0.2666
CNAG_00081	NA	457.598	0.231	0.366	0.7231
CNAG_00082	NA	125.976	0.774	0.534	0.316
CNAG_00083	CCC1	299.023	-0.195	0.369	0.7716
CNAG_00084	NA	1004.922	-1.376	0.286	2.96e-5
CNAG_00085	NA	110.033	-0.613	0.589	0.5071
CNAG_00086	NA	595.443	-1.495	0.336	1.373e-4
CNAG_00087	NA	172.006	1.175	0.509	0.07956
CNAG_00088	NA	320.142	-0.137	0.348	0.8393
CNAG_00089	NA	218.369	-1.107	0.488	0.0869
CNAG_00090	NA	126.951	0.155	0.496	0.8803
CNAG_00091	NA	160.465	4.758	0.725	2.704e-9
CNAG_00092	NA	279.831	-0.236	0.365	0.7145
CNAG_00093	NA	68.354	1.711	0.896	0.1628
CNAG_00094	NA	20.248	2.105	1.302	0.2531
CNAG_00095	NA	799.392	-1.005	0.297	0.005631
CNAG_00096	NA	97.847	0.802	0.645	0.4088
CNAG_00097	ITR1	174.321	-0.178	0.433	0.8308
CNAG_00098	NA	2.044	-4.147	4.72	NA
CNAG_00099	NA	717.035	-0.781	0.304	0.0454
CNAG_00100	NA	422.629	0.912	1.157	0.6393
CNAG_00101	KEI1	180.819	-0.835	0.439	0.1642
CNAG_00104	NA	8070.941	-0.978	0.246	8.244e-4
CNAG_00106	TCO5	1813.56	-1.638	0.27	5.007e-8
CNAG_00107	NA	29.929	2.941	0.997	0.0183
CNAG_00108	NA	183.698	-0.435	0.437	0.5287
CNAG_00109	NA	385.22	0.565	0.332	0.2237
CNAG_00110	HPI3	102.919	-1.782	0.816	0.1006
CNAG_00111	NA	528.978	-0.824	0.301	0.03093
CNAG_00115	NA	113.08	1.344	0.588	0.08373
CNAG_00116	NA	7119.647	-0.671	0.261	0.04586
CNAG_00117	ERG24	539.516	-0.373	0.362	0.5116
CNAG_00118	NA	74.263	0.282	0.608	0.8045
CNAG_00119	NA	63.685	1.294	0.667	0.1554
CNAG_00120	NA	64.942	-0.322	0.683	0.8002
CNAG_00121	NA	343.618	3.84	0.472	3.61e-14
CNAG_00122	NA	300.369	-0.699	0.473	0.3057
CNAG_00123	NA	11.025	0.37	1.431	0.9036
CNAG_00124	CAS32	385.837	-0.47	0.325	0.3174
CNAG_00125	CRG1	103.458	-1.063	0.536	0.1446
CNAG_00126	NA	423.745	0.825	0.448	0.1812
CNAG_00127	NA	207.185	-0.446	0.453	0.5348
CNAG_00128	NA	232.657	-0.721	0.444	0.2511
CNAG_00129	NA	424.248	1.287	0.339	0.001553
CNAG_00130	RCK2	439.281	2.073	0.315	2.57e-9
CNAG_00131	NA	20.131	0.63	1.173	0.7668
CNAG_00132	NA	107.607	1.432	0.544	0.03964
CNAG_00133	NA	75.54	1.316	0.627	0.118
CNAG_00134	NA	187.268	-0.102	0.491	0.9232
CNAG_00135	NA	74.7	-0.504	0.6	0.612
CNAG_00136	NA	621.549	1.542	0.367	3.729e-4
CNAG_00137	NA	1063.807	-0.277	0.312	0.585
CNAG_00138	NA	444.468	-0.625	0.329	0.1652
CNAG_00139	NA	160.883	3.701	0.473	4.132e-13
CNAG_00140	NA	395.012	0.186	0.344	0.7646
CNAG_00141	NA	85.213	0.976	0.668	0.3125
CNAG_00142	NA	1124.263	-0.777	0.302	0.04486
CNAG_00143	NA	1092.156	-1.352	0.292	6.288e-5
CNAG_00144	NA	24.324	1.56	1.07	0.3133
CNAG_00145	NA	131.859	-0.963	0.566	0.2233
CNAG_00146	PBY101	188.92	1.497	0.453	0.007094
CNAG_00147	NA	7572.077	-0.331	0.23	0.3207
CNAG_00148	NA	654.719	0.246	0.288	0.6033
CNAG_00149	NA	1904.762	-1.404	0.247	4.475e-7
CNAG_00150	PQP1	1468.405	-0.875	0.279	0.01134
CNAG_00151	NA	311.913	-0.4	0.356	0.4654
CNAG_00152	NA	161.853	-0.897	0.456	0.148
