gene	geneName	baseMean	log2FC	stderror	padj
CNAG_06033	MAK3202	525.331	-0.682	0.328	0.1646
CNAG_06034	NA	1336.432	0.016	0.317	0.9858
CNAG_06035	NA	83.538	-1.48	0.707	0.1619
CNAG_06036	NA	189.543	0.795	0.449	0.2622
CNAG_06048	NA	94.478	-0.28	0.632	0.8469
CNAG_06049	NA	159.122	0.567	0.505	0.5442
CNAG_06050	UGE2	26.161	0.866	1.131	0.704
CNAG_06051	GAL1	126.832	0.514	0.548	0.6296
CNAG_06052	GAL7	76.765	0.206	0.683	0.9011
CNAG_06055	NA	30.393	-0.812	1.372	0.786
CNAG_06056	NA	49.019	-0.317	0.843	0.8736
CNAG_06058	NA	237.432	0.912	0.444	0.1719
CNAG_06059	NA	89.181	0.815	0.638	0.4709
CNAG_06060	NA	1897.391	0.351	0.249	0.4067
CNAG_06061	NA	1226.384	-0.551	0.276	0.1901
CNAG_06062	NA	110.545	0.3	0.632	0.8376
CNAG_06063	NA	448.463	0.067	0.352	0.9386
CNAG_06064	PTP1	45.145	1.422	1.056	0.4362
CNAG_06065	SAC101	106.982	2.324	0.628	0.003537
CNAG_06066	NA	65.859	4.284	0.823	9.362e-6
CNAG_06067	NA	328.532	-0.105	0.437	0.9202
CNAG_06068	NA	527.444	0.623	0.316	0.1952
CNAG_06071	NA	61.224	-1.371	0.754	0.2451
CNAG_06072	NA	173.485	-0.785	0.476	0.3065
CNAG_06073	NA	42.703	0.599	0.977	0.778
CNAG_06074	LPI4	28.415	1.51	1.094	0.421
CNAG_06075	NA	214.047	3.443	0.564	1.02e-7
CNAG_06076	NA	726.488	0.227	0.299	0.7074
CNAG_06077	NA	340.497	0.004	0.368	0.9975
CNAG_06078	NA	91.806	0.195	0.671	0.9042
CNAG_06079	NA	606.06	-0.995	0.313	0.0157
CNAG_06080	SAC1	318.954	-0.095	0.385	0.9187
CNAG_06081	NA	5027.694	0.027	0.247	0.967
CNAG_06082	NA	0	NA	NA	NA
CNAG_06085	PLB1	728.109	0.755	0.299	0.07319
CNAG_06086	CDK8	113.089	-0.608	0.654	0.6332
CNAG_06087	NA	424.025	-0.592	0.391	0.3638
CNAG_06088	NA	137.083	1.547	0.541	0.03553
CNAG_06090	NA	1802.686	-1.417	0.268	6.21e-6
CNAG_06092	CLN1	1773.891	-1.932	0.307	3.697e-8
CNAG_06093	SFB2	631.023	0.245	0.309	0.6943
CNAG_06094	NA	48.618	-0.155	0.852	0.9403
CNAG_06095	NA	7021.433	-0.121	0.274	0.8475
CNAG_06096	NA	586.135	-0.175	0.326	0.8114
CNAG_06097	NA	369.472	-0.356	0.397	0.6482
CNAG_06098	NA	40.895	1.041	0.948	0.5562
CNAG_06099	NA	50.809	-0.598	0.918	0.7578
CNAG_06100	NA	163.343	-0.703	0.485	0.3912
CNAG_06101	NA	15192.847	-0.342	0.238	0.3977
