gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00122	NA	63.387	-0.267	0.837	0.9085
CNAG_00123	NA	17.579	-0.27	1.241	0.9343
CNAG_00124	CAS32	147.545	0.021	0.548	0.9892
CNAG_00125	CRG1	26.108	0.039	1.265	0.9914
CNAG_00126	NA	142.763	-0.76	0.551	0.4468
CNAG_00127	NA	74.01	-0.234	0.704	0.9013
CNAG_00128	NA	45.135	-0.797	0.815	0.6352
CNAG_00129	NA	98.143	0.288	0.603	0.8461
CNAG_00130	RCK2	1189.706	1.829	0.442	0.001015
CNAG_00131	NA	0.464	-1.936	4.871	NA
CNAG_00132	NA	114.855	0.918	0.609	0.3885
CNAG_00133	NA	42.656	0.114	0.917	0.9639
CNAG_00134	NA	138.986	0.454	0.527	0.6908
CNAG_00135	NA	49.561	-0.892	0.863	0.6102
CNAG_00136	NA	885.834	0.158	0.417	0.8863
CNAG_00137	NA	417.695	0.212	0.477	0.8604
CNAG_00138	NA	157.089	-0.52	0.524	0.6296
CNAG_00139	NA	337.68	3.358	0.643	1.119e-5
CNAG_00140	NA	205.256	-0.145	0.523	0.9212
CNAG_00141	NA	59.507	2.796	0.752	0.00403
CNAG_00142	NA	320.717	-0.866	0.506	0.3025
CNAG_00143	NA	464.808	-1.289	0.406	0.01854
CNAG_00144	NA	13.187	0.794	1.402	0.8144
CNAG_00145	NA	35.745	-1.01	0.982	0.6123
CNAG_00146	PBY101	102.857	1.05	0.602	0.2893
CNAG_00147	NA	3546.363	-0.595	0.321	0.248
CNAG_00148	NA	616.399	0.269	0.39	0.7686
CNAG_00149	NA	577.239	-2.253	0.394	8.845e-7
CNAG_00150	PQP1	207.427	-2.21	0.482	1.886e-4
CNAG_00151	NA	263.527	-0.519	0.45	0.5534
CNAG_00152	NA	126.88	1.015	0.557	0.2586
CNAG_00153	NA	58.182	1.146	0.775	0.4002
CNAG_00154	NA	112.703	0.58	0.619	0.6551
CNAG_00155	NA	3.644	5.798	3.808	NA
CNAG_00156	SP1	486.74	0.801	0.385	0.1765
CNAG_00157	NA	53.094	-1.263	0.788	0.3493
CNAG_00158	HOC3	251.121	0.017	0.511	0.9909
CNAG_00159	NA	35.296	0.378	0.898	0.8704
CNAG_00160	NA	46.96	0.537	0.989	0.8223
CNAG_00161	NA	12.337	7.566	2.153	0.007571
CNAG_00162	AOX1	705.895	1.263	0.379	0.01218
CNAG_00163	NA	117.574	-0.037	0.576	0.9831
CNAG_00164	NA	188.464	1.135	0.564	0.1951
CNAG_00165	NA	1035.655	3.268	0.429	7.004e-12
CNAG_00166	NA	100.513	-0.884	0.596	0.3989
CNAG_00167	NA	78.131	-0.239	0.702	0.8991
CNAG_00171	NA	10.429	-0.683	2.427	0.9202
CNAG_00172	NA	23.098	-1.126	1.107	0.6181
CNAG_00173	NA	54.117	0.22	0.773	0.9195
CNAG_00174	NA	281.688	0.73	0.43	0.3082
CNAG_00175	NA	106.884	1.903	0.6	0.01869
CNAG_00176	NA	301.118	0.981	0.421	0.1179
CNAG_00177	NA	8.085	0.593	2.126	0.9209
CNAG_00178	NA	377.544	-0.119	0.425	0.9203
CNAG_00179	GPA2	12.097	-0.882	1.498	0.8046
CNAG_00180	NA	41.647	-0.046	0.923	0.9879
CNAG_00181	FYV10	101.083	0.078	0.667	0.9661
CNAG_00182	VPS29	72.042	-0.392	0.725	0.8235
CNAG_00183	NA	260.309	-1.451	0.454	0.0178
CNAG_00184	NA	179.377	-0.69	0.494	0.4386
CNAG_00185	NA	88.671	-0.407	0.717	0.8137
CNAG_00186	NA	19.513	0.589	1.656	0.8947
CNAG_00187	UBP16	135.162	-0.367	0.616	0.801
CNAG_00188	NA	57.713	-0.365	0.806	0.8567
CNAG_00189	NA	36.581	1.336	1.016	0.4786
CNAG_00190	NA	191.091	1.177	0.524	0.1357
CNAG_00191	NA	54.939	-0.963	0.753	0.4947
CNAG_00192	NA	175.46	1.343	0.651	0.1813
CNAG_00193	GAT1	949.429	0.203	0.35	0.809
CNAG_00194	NA	175.843	-0.154	0.555	0.9212
CNAG_00195	NA	29.669	-0.111	1.125	0.9727
CNAG_00229	NA	32.15	-1.12	1.083	0.6098
CNAG_00231	NA	49.456	-0.794	0.91	0.6834
CNAG_00232	RPL30	1555.746	-1.128	0.338	0.01218
CNAG_00233	NA	58.866	-1.775	0.781	0.1296
CNAG_00234	NA	55.631	-0.885	0.755	0.5429
CNAG_00235	AMT1	114.545	-0.486	0.612	0.7196
CNAG_00236	NA	75.48	-1.401	0.81	0.2965
CNAG_00237	NA	480.408	-1.604	0.39	0.00106
CNAG_00238	NA	1110.502	-0.997	0.345	0.03807
CNAG_00239	YAP1	398.878	1.061	0.399	0.0622
CNAG_00240	NA	216.473	0.558	0.478	0.5453
CNAG_00241	NA	108.496	-0.552	0.582	0.6497
CNAG_00242	NA	8.57	-1.5	1.746	0.6914
CNAG_00243	NA	44.583	-1.083	0.862	0.5048
CNAG_00246	NA	153.139	0.978	0.528	0.2487
CNAG_00247	LYS9	165.176	2.589	0.855	0.02738
CNAG_00248	NA	75.61	-0.938	0.69	0.4564
CNAG_00249	NA	132.542	0.926	0.539	0.3
CNAG_00250	NA	101.421	-0.647	0.646	0.6256
CNAG_00251	NA	10.124	2.104	1.665	0.502
CNAG_00252	NA	36.054	-0.82	0.919	0.6751
CNAG_00253	NA	110.914	0.12	0.588	0.939
CNAG_00254	NA	44.054	0.364	0.982	0.8893
CNAG_00255	NA	142.082	1.243	0.621	0.1992
CNAG_00256	NA	486.962	-0.321	0.484	0.7759
CNAG_00257	NA	480.779	-1.202	0.387	0.02227
CNAG_00258	NA	154.797	-0.015	0.531	0.9918
CNAG_00259	NA	155.3	-1.117	0.515	0.1532
CNAG_00260	NA	119.78	-0.364	0.578	0.7894
CNAG_00261	NA	2317.256	-0.496	0.423	0.5429
CNAG_00262	NA	17.774	-1.094	1.23	0.6761
CNAG_00263	PTP4	42.076	-0.443	0.834	0.8267
CNAG_00264	NA	428.617	1.995	0.474	7.965e-4
CNAG_00265	IDI1	183.289	-1.725	0.523	0.01353
CNAG_00266	YFH7	21.105	-0.899	1.21	0.7462
CNAG_00267	NA	52.012	0.739	0.818	0.6723
CNAG_00268	ILV2	717.409	-0.857	0.359	0.1065
CNAG_00269	NA	4.829	2.226	2.493	NA
CNAG_00270	NA	69.669	0.185	0.69	0.922
CNAG_00271	NA	67.766	-1.084	0.701	0.3717
CNAG_00272	NA	251.763	1.357	0.482	0.04477
CNAG_00273	NA	51.287	0.589	0.893	0.7777
CNAG_00274	NA	107.812	0.282	0.653	0.8654
CNAG_00275	NA	26.797	-3.038	1.18	0.07409
CNAG_00276	NA	23.752	1.197	1.21	0.6306
CNAG_00277	NA	19.343	-0.106	1.225	0.977
CNAG_00278	NA	27.489	-0.864	1.46	0.8034
CNAG_00279	NA	59.546	-0.696	0.821	0.6954
CNAG_00280	NA	214.076	-0.622	0.57	0.5812
CNAG_00283	NA	75.303	3.665	0.815	2.719e-4
CNAG_00284	NA	56.817	2.231	1.156	0.2217
CNAG_00285	NA	128.198	0.157	0.555	0.9201
CNAG_00286	NAB2	138.364	-1.057	0.532	0.2034
CNAG_00287	NA	281.633	-0.696	0.48	0.4133
CNAG_00288	NA	41.38	0.192	0.931	0.938
CNAG_00289	NA	24.433	-1.138	1.284	0.677
CNAG_00290	NA	137.347	0.354	0.559	0.789
CNAG_00291	NA	113.701	-0.515	0.565	0.6687
CNAG_00292	NA	443.336	-1.158	0.422	0.05189
CNAG_00293	RAS1	122.724	1.496	0.593	0.08261
CNAG_00294	NA	142.781	0.358	0.593	0.798
CNAG_00295	NA	5.692	0.516	2.444	NA
CNAG_00299	NA	379.35	0.703	0.615	0.5578
CNAG_00300	NA	492.58	0.705	0.381	0.2487
CNAG_00301	NA	549.7	1.935	0.553	0.008016
CNAG_00302	NA	152.551	0.835	0.513	0.3374
CNAG_00303	NA	15.32	2.209	1.367	0.3434
CNAG_00304	NA	25.293	-0.559	1.097	0.8349
CNAG_00305	NA	652.655	-0.416	0.366	0.5614
CNAG_00306	MTN2	63.56	0.55	0.808	0.7704
CNAG_00307	NA	208.749	-0.753	0.56	0.4652
CNAG_00308	NA	52.227	-0.47	0.8	0.805
CNAG_00309	NA	118.228	-0.548	0.63	0.6855
CNAG_00310	NA	68.382	-0.603	0.718	0.6968
CNAG_00311	NA	172293.428	1.219	0.559	0.1504
CNAG_00312	NA	41.705	-1.508	0.857	0.2851
CNAG_00313	NA	82.561	0.098	0.723	0.9608
CNAG_00314	NA	61.353	1.032	0.785	0.4786
CNAG_00315	NA	118.463	-0.054	0.56	0.9734
CNAG_00316	HAM1	40.866	-1.288	0.901	0.4247
CNAG_00317	NA	74.724	0.113	0.665	0.9515
CNAG_00318	NA	50.573	0.381	0.801	0.8474
CNAG_00319	NA	194.745	0.229	0.513	0.859
CNAG_00320	NA	120.727	0.049	0.602	0.9779
CNAG_00321	NA	20.753	2.792	1.257	0.1412
CNAG_00322	NA	55.732	0.703	0.812	0.6876
CNAG_00323	NA	9.2	1.311	1.635	0.7152
CNAG_00326	NA	265.671	-0.135	0.486	0.9212
CNAG_00327	NA	27.073	-0.202	1.024	0.9407
CNAG_00328	NA	194.497	0.197	0.513	0.8832
CNAG_00329	NA	193.791	-0.036	0.663	0.9867
CNAG_00330	NA	136.838	-0.219	0.535	0.8725
CNAG_00331	NA	102.134	2.583	0.755	0.009907
CNAG_00332	SIP4	639.28	1.99	0.393	2.339e-5
CNAG_00333	NA	30.797	-2.367	1.058	0.1372
CNAG_00334	NA	7156.767	-1.257	0.352	0.006571
CNAG_00335	NA	109.338	-0.433	0.607	0.7597
CNAG_00337	NA	361.555	-0.496	0.452	0.5797
