ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
ec00780__PK__KEGG	Biotin metabolism	55	3	CNAG_02099,CNAG_02100,CNAG_06917,	5.5	8.06	10.96	0.00509750639225	0.156378811244	0.20390025569
ec00061__PK__KEGG	Fatty acid biosynthesis	64	3	CNAG_02099,CNAG_02100,CNAG_05759,	4.7	6.93	9.29	0.00781894056221	0.156378811244	0.312757622488
ec00254__PK__KEGG	Aflatoxin biosynthesis	3	1	CNAG_05759,	33.3	49.25	79.95	0.0201787616039	0.269050154718	0.807150464155
